Amurwa Bhumi Lintang Panjer Sore,Text,Cetakan Pertama: Mei 2015,978-602-72510-4-5,"Metamind, Creative Imprint of Tiga Serangkai",2015,,,,Indonesia,Solo,NONE,,Amurwa_Bhumi.JPG.JPG,,<Langit Kresna Hariadi>,,<10173><10174><10175>
Gugur Bunga Kedaton,Text,Cetakan Pertama: Februari 2015,978-602-72097-2-5,"Metamind, Creative Imprint of Tiga Serangkai",2015,,,,Indonesia,Solo,NONE,,Gugur_Bunga_Kedaton.jpg.jpg,,<Wahyu H.R.>,,<10170><10171><10172>
Panji Wirapati Pralaya Di Tanah Jawa,Text,Cetakan Pertama: Maret 2014,978-602-9251-23-4,"Metamind, Creative Imprint of Tiga Serangkai",2014,,,,Indonesia,Solo,NONE,,Panji_Wirapati_Pralaya_Di_Tanah_Jawa.jpg.jpg,,<Nugroho Widjajanto>,,<10167><10168><10169>
Panji Wirapati Tumpas Pamungkas,Text,Cetakan Pertama: Mei 2014,978-602-9251-28-9,"Metamind, Creative Imprint of Tiga Serangkai",2014,,,,Indonesia,Solo,NONE,,Panji_Wirapati_Tumpas_Pamungkas.JPG.JPG,,<Nugroho Widjajanto>,,<10164><10165><10166>
Anomalies The Rise of The Underground,Text,Cetakan Pertama: Februari 2017,978-602-9251-34-0,"Metamind, Creative Imprint of Tiga Serangkai",2017,,,813 SEG A03/3,Indonesia,Solo,813,,Anomalies_The_Rise_of_the_Underground.JPG.JPG,,<Jason Segel>,,<10161><10162><10163>
Penangsang Lukisan Sembilan Cahaya,Text,Cetakan Pertama: Juni 2015,978-602-72510-9-0,"Metamind, Creative Imprint of Tiga Serangkai",2015,,,,Indonesia,Solo,NONE,,Penangsang_Lukisan_Sembilan_Cahaya.jpg.jpg,,<NasSirun PurwOkartun>,,<10158><10159><10160>
AMR Bin ASH Panglima Pembebas Mesir Dari Belenggu Romawi,Text,Cetakan Kedua: Desember 2017,978-602-0894-54-6,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,AMR_bin_ASH.jpg.jpg,,<Dr. Hasan Ibrahim Hasan>,,<10155><10156><10157>
Indahnya Cinta Karena Allah Nikmatnya Cinta Berbalas dari Allah,Text,Cetakan Pertama: Maret 2016,978-602-0894-23-2,"Tinta Medina, Creative Imprint of Tiga Serangkai",2016,,,,Indonesia,Solo,NONE,,Indahnya_Cinta_Karena_Allah_Nikmatnya_Cinta_Berbalas_dari_Allah.jpg.jpg,,<Syekh 'Abduh bin Ahmad al-Aqra'>,,<10149><10150><10151>
Buku Pintar Orang Tua,Text,Cetakan Pertama: September 2017,978-602-6328-37-3,Metagraf,2017,,,,Indonesia,Solo,NONE,,Buku_Pintar_Orang_Tua.jpg.jpg,,<Akademi Orangtua Indonesia Surakarta (AORTA)>,,<10146><10147><10148>
101 Inspirasi Muda Indonesia,Text,Cetakan Pertama: Juli 2016,978-602-6328-12-0,Metagraf,2116,,,,Indonesia,Solo,NONE,,101_Inspirasi_Muda_Indonesia.jpg.jpg,,<Mappesangka Mustafa><Hendi Suaeb>,,<10143><10144><10145>
Kapten Bhukal The Battle of Alas Tua,Text,Cetakan Pertama: Agustus 2016,978-602-9251-32-6,"Metamind, Creative Imprint of Tiga Serangkai",2016,,,,Indonesia,Solo,NONE,,Kapten_Bhukal.jpg.jpg,,<Arul Chandrana>,,<10140><10141><10142>
The Great of Abu Bakar Ash-Shiddiq Keping-Keping Mozaik Menakjubkan Kehidupan Khalifah Pertama,Text,Cetakan Pertama: Agustus 2018,978-602-5731-21-1,"Tinta Medina, Creative Imprint of Tiga Serangkai",2018,,,,Indonesia,Solo,NONE,,The_Great_of_Abu_Bakar_Ash-Shiddiq.jpg.jpg,,<Fuad Abdurrahman><Ali Sudansah>,,<10137><10138><10139>
Bergegaslah! Manfaatkan Waktumu Raih Keberkahannya,Text,,978-602-5731-20-4,PT Tiga Serangkai Putaka Mandiri,2018,,,,Indonesia,Solo,NONE,,,,<Royhan Firdausy>,,<10134><10135><10136>
Kuda Anyampiani Lost in China,Text,Cetakan Pertama: September 2014,978-602-9251-27-2,"Metamind, Creative Imprint of Tiga Serangkai",2014,,,,Indonesia,Solo,NONE,,Kuda_Anyampiani_Lost_in_China.jpg.jpg,,<Wahyu H.R.>,,<10131><10132><10133>
Pesan Imam Malik Ulama Kaya Raya yang Zuhud,Text,Cetakan Pertama: Februari 2018,978-602-0894-98-0,"Tinta Medina, Creative Imprint of Tiga Serangkai",2018,,,,Indonesia,Solo,NONE,,Pesan_Imam_Malik.jpg.jpg,,<Rosyid Shobari>,,<10128><10129><10130>
Apotek Rabbani,Text,Cetakan Pertama: Oktober 2016,978-602-0894-40-9,"Tinta Medina, Creative Imprint of Tiga Serangkai",2016,,,,Indonesia,Solo,NONE,,Apotek_Rabbani.jpg.jpg,,<Siti Zumrotus Sa'adah>,,<10125><10126><10127>
The Thing I'd Miss Kisah Dalam Kenangan,Text,Cetakan Pertama: Maret 2016,978-602-72834-9-7,"Metamind, Creative Imprint of Tiga Serangkai",2016,,,,Indonesia,Solo,NONE,,The_Thing_I'd_Miss.jpg.jpg,,<Andrew Clover>,,<10122><10123><10124>
Mistress of Mourning Nyonya Perkabungan,Text,Cetakan Pertama: Desember 2014,978-979-045-794-2,"Metamind, Creative Imprint of Tiga Serangkai",2014,,,,Indonesia,Solo,NONE,,Mistress_of_Mourning.jpg.jpg,,<Karen Harper>,,<10119><10120><10121>
77 Cara Sukses Bisnis ala Rasulullah,Text,Cetakan Pertama: September 2018,978-602-5731-25-9,"Tinta Medina, Creative Imprint of Tiga Serangkai",2018,,,,Indonesia,Solo,NONE,,77_Cara_Sukses_Bisnis_ala_Rasulullah.jpg.jpg,,<Aulia Muthiah>,,<10116><10117><10118>
Adversity Quotient Agar Anak Tak Gampang Menyerah,Text,Cetakan Pertama: September 2016,978-602-0894-39-3,"Tinta Medina, Creative Imprint of Tiga Serangkai",2016,,,,Indonesia,Solo,NONE,,Adversity_Quotient.JPG.JPG,,<Miarti Yoga>,,<10113><10114><10115>
Zaid Bin Tsabit,Text,Cetakan Pertama: Juni 2016,9787-602-0894-29-4,"Tinta Medina, Creative Imprint of Tiga Serangkai",2016,,,,Indonesia,Solo,NONE,,Zaid_bin_Tsabit.jpg.jpg,,<Dr. Shafwan Adnan Dawudi>,,<10110><10111><10112>
Amalan Sepanjang Tahun Meraih Pahala Di Bulan-Bulan Hijriah,Text,Cetakan Pertama: November 2016,978-602-0894-45-4,"Tinta Medina, Creative Imprint of Tiga Serangkai",2016,,,,Indonesia,Solo,NONE,,Amalan_Sepanjang_Tahun_Meraih_Pahala_Di_Bulan-Bulan_Hijriah.jpg.jpg,,"<Hj. Fadillah Ulfa, Lc.,M.A.>",,<10107><10108><10109>
Ha Nahnu Dza,Text,Cetakan Pertama: Mei 2017,978-602-0894-64-5,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Ha_Nahnu_Dza.jpg.jpg,,<Ira Madam>,,<10104><10105><10106>
Perjalanan Cinta dan Makna Perempuan,Text,,978-602-73871-8-8,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,<Nazura Gulfira>,,<10101><10102><10103>
101 Strategi Sukses Berbisnis Kuliner,Text,,978-602-6328-11-3,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,<Qalbinur Nawawi>,,<10098><10099><10100>
Aksi Kocak Nuruddin 2rnNovel Pendidikan Adab dan Hikmah,Text,,978-602-5731-04-4,PT Tiga Serangkai Putaka Mandiri,2018,,,,Indonesia,Solo,NONE,,,,<Harlis Kurniawan>,,<10095><10096><10097>
dr. LornSang Maestro Kehidupan,Text,,978-602-73871-3-3,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,"<dr. Nadjibah Yahya, Dipl. CIBTAC>",,<10092><10093><10094>
The Queen at WarrnPetualangan Menjelajah Waktu,Text,,978-602-9251-20-3,PT Tiga Serangkai Putaka Mandiri,2013,,,,Indonesia,Solo,NONE,,,,<K.A.S. Quinn>,,<10089><10090><10091>
180 Berpikir Beda Untuk Menciptakan Hidup yang Luar Biasa,Text,,978-602-6328-29-8,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Edi Susanto>,,<10086><10087><10088>
Ketika Minoritas Jadi Pilihan,Text,,978-602-0894-75-1,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Irja Nasrullah>,,<10083><10084><10085>
30 Jurus Ampuh Penakluk Setan,Text,,978-602-0894-59-1,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Saiful Hadi El-Sutha>,,<10080><10081><10082>
Aksi Kocak Nuruddin rnNovel Pendidikan adab dan Hikmah,Text,,978-602-0894-69-0,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Harlis Kurniawan>,,<10077><10078><10079>
#NasihatDiri Untuk Para Pekerja,Text,,978-602-72110-8-7,PT Tiga Serangkai Putaka Mandiri,2015,,,,Indonesia,Solo,NONE,,,,<Teddi Prasetya Yuliawan>,,<10074><10075><10076>
Sam walton,Text,,978-602-6328-20-5,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,<Christian F. Guswai>,,<10071><10072><10073>
Menjadi Orang Tua bijak di Era Digital rnMedia Moms and Digital Dads,Text,,978-602-6328-14-4,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,"<Yalda T. Uhls, MBA, Ph.D.>",,<10068><10069><10070>
The 8 Week Blood Sugar Diet rnTurunkan Berat Badan Dengan Cepat dan Program Ulang Tubuh Anda,Text,,978-602-6328-21-2,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,,NONE,,,,<DR. Michael Mosley>,,<10065><10066><10067>
Sayyidah Aisyah,Text,,978-602-0894-79-9,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Syekh Abdul Hamid Mahmud Thahmaz>,,<10062><10064><10063>
Glaze,Text,,978-602-725108-3,PT Tiga Serangkai Putaka Mandiri,2015,,,,Indonesia,Solo,NONE,,,,<Kim Curran>,,<10059><10060><10061>
Waxing Moon Saat masa Keemasan Dinasti Berakhir,Text,,978-602-72510-0-7,PT Tiga Serangkai Putaka Mandiri,2015,,,,Indonesia,Solo,NONE,,,,<H.S. Kim>,,<10056><10057><10058>
Affaf rnMenjaga Kesucian Diri,Text,,978-602-0894-35-5,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,<Muhammad bin Riyadh al-Atsari>,,<10053><10054><10055>
Topi Hamdan,Text,,978-602-9251-40-1,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Auni Fa>,,<10050><10051><10052>
Inspirasi Mengukir Prestasi Islami,Text,,978-602-0894-61-4,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Rian Hidayat El-Bantany>,,<10047><10048><10049>
"#Unstoppable Berani Gagal, Berani Bangkit, Berani Sukses",Text,,978-602-6328-13-7,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,<Ilman Akbar>,,<10044><10045><10046>
#NasihatDiri Untuk Insan Produktif,Text,,978-602-6328-27-4,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Teddi Prasetya Yuliawan>,,<10041><10042><10043>
5 Kunci Sukses Hidup rnAgar Hidup Selalu Dalam Keberkahan dan kesuksesan,Text,,978-602-0894-63-8,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Abdisita Sandhyasosi>,,<10038><10039><10040>
Eleanor of Aquitaine Pewaris Takhta Agung Eropa,Text,,978-602-9251-35-7,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Desmond Seward>,,<10035><10036><10037>
Ken Arok Sumelang Gandring,Text,,978-602-9251-30-2,PT Tiga Serangkai Putaka Mandiri,2014,,,,Indonesia,Solo,NONE,,,,<Zhaenal Fanani>,,<10032><10033><10034>
Rahasia Cantik,Text,,978-602-9212-95-2,PT Tiga Serangkai Putaka Mandiri,2014,,,,Indonesia,Solo,NONE,,,,<Nidi Adijaya>,,<10029><10030><10031>
Donat Akhirat,Text,,978-602-0894-43-0,PT Tiga Serangkai Putaka Mandiri,2016,,,,Indonesia,Solo,NONE,,,,<Ahmad Masrul>,,<10026><10027><10028>
On The Road,Text,,978-602-73215-4-0,PT Tiga Serangkai Putaka Mandiri,2015,,,,Indonesia,Solo,NONE,,,,<Linda B>,,<10023><10024><10025>
Azimah,Text,,978-602-0894-87-4,PT Tiga Serangkai Putaka Mandiri,2017,,,,Indonesia,Solo,NONE,,,,<Arum Faiza>,,<10020><10021><10022>
365 Days of Wonderrn365 Hari Penuh Keajaiban,Text,Cetakan Pertama: Juli 2017,978-602-6328-33-5,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,Solo,NONE,,365_Days_of_Wonder.JPG.JPG,,<R.J. Palacio>,,<10018><10019>
Queen of HeartsrnVolume TwornThe Wonder,Text,Cetakan Pertama: Januari 2016,978-602-72834-6-6,"Metamind, Creative Imprint of Tiga Serangkai",2016,,,,Indonesia,Solo,NONE,,Queen_of_Hearts_Volume_2.jpg.jpg,,<Colleen Oakes>,,<10015><10016><10017>
"Djoeroe MasakrnSembah dan Berkah"" #4""",Text,Cetakan Pertama: Juni 2017,978-602-9251-39-5,"Metamind, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Djoeroe_Masak_Sembah_dan_Berkah.jpg.jpg,,<Dyah Prameswarie><Tiffa N. Tanuwigena>,,<10012><10013><10014>
"Djoeroe MasakrnNona Doyan Makan"" #3""",Text,Cetakan Pertama: Juni 2017,978-602-9251-37-1,"Metamind, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Djoeroe_Masak_Nona_Doyan_Makan.jpg.jpg,,<Dyah Prameswarie><Rahman A. Nur>,,<10009><10010><10011>
"Djoeroe MasakrnKelab Makan Siang Rahasia"" #2""",Text,Cetakan Pertama: Juni 2017,978-602-9251-36-4,"Metamind, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Djoeroe_Masak.jpg.jpg,,<Dyah Prameswarie><Inke Alverinne>,,<10006><10007><10008>
"Djoeroe MasakrnJenang Bukan Dodol"" #1""",Text,Cetakan Pertama: Juni 2017,978-602-9251-38-8,"Metamind, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,Djoeroe_Masak_Jenang_Bukan_Dodol.jpg.jpg,,<Dyah Prameswarie><Suyanti Prasetio>,,<10003><10004><10005>
My Hobby My BusinessrnOtomotif,Text,Cetakan Pertama: Oktober 2014,978-602-9212-62-4,Metagraf Creative Imprint of Tiga Serangai,2014,,,,Indonesia,Solo,NONE,,My_Hobby_My_Business_Otomotif.jpg.jpg,,<Gunawan Ardiyanto>,,<10001><10002>
The Golden Storiesrn150 Mozaik Mencerahkan Sepanjang Sejarah,Text,Cetakan Pertama: Mei 2017,978-602-0894-62-1,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,The_Goldesn_Stories.jpg.jpg,,<Fuad Abdurahman><Abdullah Nur>,,
Berawal dari OtakrnMenata Kelas yang Berfokus pad Pebelajar,Text,"Cetakan 2, 2018",978-979-062-063-6,PT Indeks,2018,,,,Indonesia,Jakarta Barat,NONE,,Berawal_dari_Otak.jpg.jpg,,<Martha Kaufeldt>,,
100 Ide Kreatif untuk Warna,Text,2006,979-781-501-3,Esensi Erlangga Group,2006,,,,Indonesia,jakarta,NONE,,100_Ide_Kreatif_untuk_Warna.jpg.jpg,,<Sue Rose>,,
Meningkatkan Kesuburan untuk Kehamilan Alami,Text,2005,979-781-556-0,Esensi Erlangga Group,2005,,,,Indonesia,Solo,NONE,,meningkatkan_Kesuburan_untuk_Kehamilan_alami.jpg.jpg,,<Anne Charlish><Kim Davies>,,
"Ini Jalanku, Da'i Kamtibmas Sebuah Pengabdian",Text,Cetakan Kedua: Desember 2018,978-602-0894-42-3,"Tinta Medina, Creative Imprint of Tiga Serangkai",2018,,,,Indonesia,Solo,NONE,,"Ini_Jalanku,_Da'i_Kamtibmas_Sebuah_Pengabdian.jpg.jpg",,<Hamka Mahmud>,,
EkonometrikarnEsensi dan Aplikasi dengan menggunakan EViews,Text,2012,978-979-099-887-2,Penerbit Erlangga,2012,,,,Indonesia,jakarta,NONE,,Ekonometrika.jpg.jpg,,<Moch. Doddy Ariefianto>,,
Rekam Jejak Perkembangan Geometri,Text,Cetakan: Tahun 2018,979-28-1171-1,PT Intan Pariwara,2018,,,,Indonesia,Klaten,NONE,,Rekam_Jejak_Perkembangan_Geometri.JPG.JPG,,<Agung Prabowo>,,
Tumbuhan HijaurnDunia Sains Biologi,Text,Cetakan 1,978-979-018-989-8,PT. Tiga Serangkai Pustaka Mandiri,2008,,,,Indonesia,Solo,NONE,,Tumbuhan_Hijau.jpg.jpg,,<Denise Walker>,,
Cahaya dan WarnarnDunia Sains Fisika,Text,Cetakan 1,978-979-045-083-7,PT. Tiga Serangkai Pustaka Mandiri,2008,,,,Indonesia,Solo,NONE,,Cahaya_dan_Warna.JPG.JPG,,<Gerard Cheshire>,,
"Reproduksi, Pernapasan, dan Kesehatan",Text,Cetakan 1,978-979-045-079-0,PT. Tiga Serangkai Pustaka Mandiri,2008,,,,Indonesia,Solo,NONE,,"Reproduksi,_Pernapasan,_dan_Kesehatan.JPG.JPG",,<Denise Walker>,,
Listrik dan KemagnetanrnDunia Sains Fisika,Text,Cetakan 1,978-979018-9904,PT. Tiga Serangkai Pustaka Mandiri,2008,,,,Indonesia,Solo,NONE,,Listrik_dan_Kemagnetan.jpg.jpg,,<Gerard Cheshire>,,
Sel dan KehidupanrnDunia Sains Biologi,Text,Cetakan 1,978-979-018-987-4,PT. Tiga Serangkai Pustaka Mandiri,2008,,,,Indonesia,Solo,NONE,,Sel_dan_Kehidupan.jpg.jpg,,<Denise Walker>,,
Mari Membaca Syair,Text,2017,978-602-6847-45-4,Esensi Erlangga Group,2017,,,,Indonesia,jakarta,NONE,,Mari_Membaca_Syair.jpg.jpg,,<Umar Igiasi>,,
Psikologi PendidikanrnMembantu Siswa Tumbuh dan BerkembangrnJilid 1,Text,Sixth Edition,,Penerbit Erlangga,2008,,,,Indonesia,jakarta,NONE,,Psikologi_Pendidikan_Membantu_Siswa_Tumbuh_dan_Berkembang_Jilid_1.JPG.JPG,,<Jeanne Ellis Ormrod>,,
Psikologi PendidikanrnMembantu Siswa Tumbuh dan BerkembangrnJilid 2,Text,Sixth Edition,978-979-075-874-2,Penerbit Erlangga,2008,,,,Indonesia,jakarta,NONE,,Psikologi_Pendidikan_Membantu_Siswa_Tumbuh_dan_Berkembang.jpg.jpg,,<Jeanne Ellis Ormrod>,,
Pustaka SainsrnTersambung InternetrnMaterial,Text,Cetakan: April 2018,979-534-353-X,Pakar Raya Pakarnya Pustaka,2018,,,,Indonesia,Bandung,NONE,,Material.jpg.jpg,,<Alastair S.><Philip C.><Corrinne H.>,,
Keunikan Teknik Batik Kayu,Text,Cetakan: Tahun 2017,978-602-8226-62-2,Saka Mitra Kompetensi,2017,,,,Indonesia,Klaten,NONE,,Keunikan_Teknik_Batik_Kayu.JPG.JPG,,<Agung Suroso>,,
Pintar Membuat Portofolio,Text,2006,978-979-033-295-9,Esensi Erlangga Group,2006,,,,Indonesia,jakarta,NONE,,Pintar_Membuat_Portofolio.JPG.JPG,,<Elizabeth F. Shores><Cathy Grace>,,
Matematika SMA/MArnBank Soal,Text,"Cetakan 1, 2012",978-602-17132-4-2,PT Aksarra Sinergi Media,2012,,,510 SUJ M,Indonesia,Surakarta,510,,Matematika_SMA_MA_Bank_Soal.JPG.JPG,,<Eko Sujatmiko><Rully Bramasti>,,
Berkenalan dengan Pengolah Kata Writer,Text,Cetakan Tahun 2018,979[1464[34[5,PT Citra Aji Parama,201/8,,,,Indonesia,Yogyakarta,NONE,,Berkenalan_dengan_Pengolah_Kata_Writer.JPG.JPG,,<Benedicta Rini Widiarti>,,
Mengenal Lebih Dekat Internet,Text,Cetakan Tahun 2018,979-1464-39-0,PT Citra Aji Parama,2018,,,,Indonesia,Yogyakarta,NONE,,Mengenal_Lebih_Dekat_Internet.JPG.JPG,,<Joko Widiyatmoko><Ery Hermawan>,,
Pengetahuan Seni Rupa Indonesia,Text,Cetakan 1,978-602-7526-99-0,PT Taka Publisher,2017,,,,Indonesia,Surakarta,NONE,,Pengetahuan_Seni_Rupa_Indonesia.jpg.jpg,,<Elyandra Widharta>,,
Pocket Mentor Manajemen Waktu,Text,2008,978-979-015-822-1,Esensi Erlangga Group,2008,,,,Indonesia,jakarta,NONE,,Pocket_Mentor_Manajemen_Waktu.jpg.jpg,,<Sigit Purwanto>,,
Jadi Pengusaha Siapa Takut?,Text,Cetakan April 2017,979-662-303-7,PT Cempaka Putih,2017,,,,Indonesia,Klaten,NONE,,Jadi_Pengusaha_Siapa_Takut.jpg.jpg,,<Westriningsih>,,
132  Tanya Jawab Problema Muslimah,Text,Cetakan Pertama: September 2017,978-602-0894-77-5,"Tinta Medina, Creative Imprint of Tiga Serangkai",2017,,,,Indonesia,Solo,NONE,,132_Tanya_Jawab-_Poblema_Muslimah.jpg.jpg,,<Syekh 'Athiyah Shaor>,,
Jangan Pernah Berhenti {Jadi}rnHabibie,Text,Cetakan Pertama: Juni 2016,978-602-6328-02-1,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Jangan_Pernah_Berhenti_(Jadi)_Habibie.jpg.jpg,,<A. Makmur Makka>,,
HabibiernJejak Sang Penanda Kebangkitan,Text,Cetakan Pertama: Juni 2016,978-602-6328-03-8,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Habibie_Jejak_Sang_Penanda_Kebangkitan.JPG.JPG,,<A. Makmur Makka>,,
Karya Nyata untuk IndonesiarnHabibie,Text,Cetakan Pertama: Juni 2016,978-602-6328-04-5,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Karya_Nyata_untuk_Indonesia_Habibie.jpg.jpg,,<A. Makmur Makka>,,
"Habibierndalam Komik, Puisi, dan Surat",Text,Cetakan Pertama: Juni 2016,978-602-6328-09-0,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,"dalam_Komik,_Puisi,_dan_Surat_Habibie.jpg.jpg",,<A. Makmur Makka>,,
Ainun Mata Cinta Habibie,Text,Cetakan Pertama: Juni 2016,978-602-6328-08-3,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Ainun_Mata_Cinta_Habibie.jpg.jpg,,<A. Makmur Makka>,,
HabibiernMakna Di Balik Lensa,Text,Cetakan Pertama: Juni 2016,978-602-6328-07-6,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Habibie_Makna_Di_Balik_Lensa.jpg.jpg,,<A. Makmur Makka>,,
"HabibiernMusik, Film, dan Kegemaran",Text,Cetakan Pertama: Juni 2016,978-602-6328-06-9,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,"Habibie_Musik,_Film,_dan_Kegemaran.jpg.jpg",,<A. Makmur Makka>,,
HabibiernTotalitas SangTeknosof,Text,Cetakan Pertama: Juni 2016,978-602-6328-05-2,Metagraf Creative Imprint of Tiga Serangai,2016,,,,Indonesia,Solo,NONE,,Habibie_Totalitas_Sang_Teknosof.JPG.JPG,,<A. Makmur Makka>,,
English Vocabulary in UsernPre-Intermediate & Intermediate,Text,Second Reprint 2002,979-688-111-4,Penerbit Erlangga,2002,,,420 RED E,English,jakarta,420,,English_Vocabulary_in_Use_(Pre-intermediate-Intermediate).jpg.jpg,,<Stuart Redman>,,
Hukum Lingkungan dan Ekologi PembangunanrnEdisi Kedua,Text,Edisi Kedua 2004,979-741-053-6,Penerbit Erlangga,2004,,,344.046 SIA H,Indonesia,jakarta,344,,Hukum_Lingkungan_dan_Ekologi_Pembangunan.jpg.jpg,,<N. H. T. Siahaan>,,
Pendidikan AntikorupsirnUntuk Sekolah Dan Perguruan Tinggi,Text,"Cetakan 2, 2018",978-979-062-482-4,PT Indeks,2018,,,,Indonesia,Jakarta Barat,NONE,,Pendidikan_Anti_Korupsi.png.png,,"<David Wijaya, S.E., M.M.>",,
Panduan Wawancara Super Lengkap,Text,2009,978-979-033-810-4,Esensi Erlangga Group,2009,,,,Indonesia,jakarta,NONE,,Panduan_Wawancara_Super_Lengkap.jpg.jpg,,<Lynn Williams>,,
Menciptakan Balanced Scorecard untuk Organisasi Jasa Keuangan,Text,2012,978-979-099-766-0,Esensi Erlangga Group,2012,,,,Indonesia,jakarta,NONE,,Menciptakan_Balanced_Scorecard_Untuk_Organisasi_Jasa_Keuangan.jpg.jpg,,<Naresh Makhijani><James Creelman>,,
"Menjelajah Dunia, Mendidik Indonesia",Text,Cetakan Pertama: Oktober 2017,978-602-6328-39-7,Metagraf Creative Imprint of Tiga Serangai,2017,,,,Indonesia,Solo,NONE,,"Menjelajah_Dunia,_Mendidik_Indonesia.jpg.jpg",,<Ruswanto>,,
Earth WarsrnPertempuran Memperebutkan umber Daya Global,Text,Mei 2012,978-602-7596-54-2,Esensi Erlangga Group,2012,,,,Indonesia,jakarta,NONE,,Earth_Wars_Pertempuran_Memperebutkan_Sumber_Daya_Global.jpg.jpg,,<Geoff Hiscock>,,
"Seri Belajar PancasilarnYuk, Saling Menghargai",Text,2017,978-602-6847-46-1,Esensi Erlangga Group,2017,,,,Indonesia,jakarta,NONE,,"Yuk,_Saling_Menghargai.jpg.jpg",,<Yugha Erlangga>,,
Anak Sehat: 100 Solusi dr. TiwirnPanduan Lengkap Kesehatan Bayi 0-24 Bulan,Text,2011,978-979-099-614-4,Esensi Erlangga Group,2011,,,,Indonesia,jakarta,NONE,,Anak_Sehat_100_Solusi_Dr._Tiwi.jpg.jpg,,"<dr. I Gusti Ayu Nyoman Partiwi, SpA MARS>",,
Gajah MadarnTakhta Dan Angkara,Text,Cetakan Ketiga: Agustus 2017 (Edisi Baru),978-979-084-835-1,PT. Tiga Serangkai Pustaka Mandiri,2017,,,,Indonesia,Solo,NONE,,Gajah_Mada_Takhta_dan_Angkara.jpg.jpg,,<Langit Kresna Hariadi>,,
Gajah MadarnSumpah Di Manguntur,Text,Cetakan Ketiga: Agustus 2017 (Edisi Baru),978-979-084-836-8,PT. Tiga Serangkai Pustaka Mandiri,2017,,,,Indonesia,Solo,NONE,,Gajah_Mada_Sumpah_Di_Manguntur.jpg.jpg,,<Langit Kresna Hariadi>,,
Gajah MadarnSanga Turangga Paksowani,Text,Cetakan Ketiga: Agustus 2017 (Edisi Baru),978-979-084-837-5,PT. Tiga Serangkai Pustaka Mandiri,2017,,,,Indonesia,Solo,NONE,,Gajah_Mada_Sangar_Turangga_Paksowani.jpg.jpg,,<Langit Kresna Hariadi>,,
Gajah MadarnHamukti Moksa,Text,Cetakan Ketiga: Agustus 2017 (Edisi Baru),978-979-084-838-2,PT. Tiga Serangkai Pustaka Mandiri,2017,,,,Indonesia,Solo,NONE,,Gajah_Mada_Hamukti_Moksa.JPG.JPG,,<Langit Kresna Hariadi>,,
