"At a Glance Medicine","Text","","979-741-994-0","Penerbit Erlangga","2005","Biologi","","","Indonesia","jakarta","NONE","","","","<Patrick Davey>","","<30835>"
"Penuntun Perawatan dan Pengobatan Modern","Text","","","Indonesia Publishig House","1985","Biologi","","","Indonesia","Bandung","NONE","","","","<Harold Shryock, M.D>","","<30834>"
"Referensi Biologi lengkap : Ekologi","Text","","978-3-12-045341-3","Penerbit Erlangga","2017","Biologi","","","Indonesia","jakarta","NONE","","","","<Damaring Tyas Wulandari, S.Si><Ernst Klett Verlag GmbH>","","<30833>"
"Biologi untuk SMA/MA Peminatan Matematika dan Ilmu-Ilmu Alam","Text","","978-979-28-2900-6","PT Intan Pariwara","2019","Biologi","","","Indonesia","Yogyakarta","NONE","","","","<Rumiyati><Henny Purnamawati><Teo Sukoco>","","<30832>"
"Fikologi","Text","","978-602-434-105-3","Penerbit Erlangga","2016","Biologi","","","Indonesia","jakarta","NONE","","","","<Eddyman W. Ferial , Muhtadin A. Salam>","","<30790><30794><30831>"
"Buku Saku Fosil","Text","","979-688-288-4","Penerbit Erlangga","2002","Biologi","","","Indonesia","jakarta","NONE","","","","<Douglas Palmer>","","<30830>"
"Morfologi Tumbuhan","Text","","979-420-241-X","Gajah Mada University Press","1999","Biologi","","","Indonesia","Yogyakarta","NONE","","","","<Gembong Tjitrosoepomo>","","<30829>"
"Ilmu Pengetahuan Alam Kurikulum 2013 IX Semester 1","Text","","978-602-1530-62-7","kementerian pendidikan dan kebudayaan","2015","Biologi","","","Indonesia","jakarta","NONE","","","","","","<30828>"
"Sains dan Percobaan Ekologi","Text","","979-534-204-5","Pakar Raya Pakarnya Pustaka","2004","Biologi","","","Indonesia","Bandung","NONE","","","","<Richard Spurgeon>","","<30826><30827>"
"Zoologi Umum edisi keenam Jilid 1","Text","6","","Penerbit Erlangga","1999","Biologi","","","Indonesia","jakarta","NONE","","","","<Claude A. Villee><Warren F. Walker, Jr><Robert D. Barnes>","","<30825>"
"At a Glance Hematologi","Text","2","978-979-033-382-6","Penerbit Erlangga","2006","Biologi","","","Indonesia","jakarta","NONE","","","","<Atul Mehta><Victor Hoffbrand>","","<30820><30823><30824>"
"Serendipity Penemuan-Penemuan di Bidang Sains yang tidak disengaja","Text","","0-471-60203-5","Pakar Raya Pakarnya Pustaka","","Biologi","","","Indonesia","Bandung","NONE","","","","<Royston M. Roberts>","","<30822>"
"At a Glance Sistem Reproduksi","Text","2","978-979-015-222-9","Penerbit Erlangga","2006","Biologi","","","Indonesia","jakarta","NONE","","","","<Linda J. Heffner><Danny J. Schust>","","<30821>"
"At a Glance Sistem Endokrin","Text","2","978-979-075-334-1","Penerbit Erlangga","2007","Biologi","","","Indonesia","jakarta","NONE","","","","<Ben Greenstein><Diana wood>","","<30819>"
"Mikrobiologi Farmasi","Text","","978-979-033-455-7","Penerbit Erlangga","2008","Biologi","","","Indonesia","jakarta","NONE","","","","<Sylvia T. Pratiwi>","","<30817>"
"Panduan Pembelajaran Biologi Untuk SMA/MA","Text","","978-979-068-136-1","Pusat Perbukuan Departemen Pendidikan Nasional","2009","Biologi","","","Indonesia","jakarta","NONE","","","","<Suwarno>","","<30816>"
"Kumpulan Soal dan Pembahasan Biologi ( SNMPTN/SBMPTN Tahun 2011-2014 , SIMAK UI Tahun 2011-2013 , UM UGM Tahun 2013-2014 , UMB Tahun 2011-2014 )","Text","","978-602-8810-15-9","Ganesha operation","2014","Biologi","","","Indonesia","Bandung","NONE","","","","<Tim Pengajar Ganesha Operation>","","<30815>"
"Penyakit Infeksi","Text","6","978-979-033-588-2","Penerbit Erlangga","2008","Biologi","","","Indonesia","jakarta","NONE","","","","","","<30813>"
"Sains dari Kepala sampai Kaki","Text","","0-471-33203","Pakar Raya Pakarnya Pustaka","2005","Biologi","","","Indonesia","Klaten, Yogyakarta","NONE","","","","<Jim Wiese>","","<30810><30811>"
"Tumbuhan Monokotil","Text","","979-489-342-0","Penebar Swadaya","1996","Biologi","","","Indonesia","jakarta","NONE","","","","<ir. Hartono Sudarnadi>","","<30809>"
"Dunia Sains Fisika (Gaya dan Gerak)","Text","","978-979-018-991-1","PT. Tiga Serangkai Pustaka Mandiri","2008","Fisika","","","Indonesia","Solo","NONE","","","","<Gerard Cheshire>","","<30808>"
"Dunia Sains Kimia Logam dan Nonlogam","Text","","978-979-045-086-8","PT. Tiga Serangkai Pustaka Mandiri","2008","Kimia","","","Indonesia","Solo","NONE","","","","<Denise Walker>","","<30807>"
"Budidaya Jahe dan Pemanfaatannya","Text","","978-602-8426-84-8","Mitra Utama","2013","Biologi","","","Indonesia","Bekasi","NONE","","","","<Dewi Fatchiyaturrofi'ah>","","<30805>"
"Kenalilah Lingkungan Hidupmu","Text","","","PT. Tiga Serangkai Pustaka Mandiri","1999","Biologi","","","Indonesia","Solo","NONE","","","","<Muh. Sunardiyanto>","","<30804>"
"Big Bang Spirit (Mendongkrak Motivasi untuk Meraih Prestasi)","Text","","979-026-039-9","Pustaka Insan Madani","2008","Referensi","","","Indonesia","Yogyakarta","NONE","","","","<Sutan Surya, M. Hariwijaya>","","<30788><30803>"
"Sains Aneh (40 kegiatan yang Terlihat Aneh, Ganjil, dan Hampir Tidak Bisa Dipercaya untuk Anak-anak)","Text","","0-471-46229-2","Pakar Raya Pakarnya Pustaka","2004","Biologi","","","Indonesia","Bandung","NONE","","","","<Jim Wiese>","","<30802>"
"Pengelolaan Laboratorium Biologi","Text","","","Direktorat Dikmenum,Ditjen Dikasen, Depikbud","1999","Biologi","","","Indonesia","jakarta","NONE","","","","","","<30800><30801>"
"Sains Kosmis (Lebih dari 40 Kegiatan untuk Anak-anak tentang Menentang Grafitasi, Mengorbit Bumi, Menjelajahi Ruang Angkasa","Text","","0-471-15852-6","Pakar Raya Pakarnya Pustaka","2005","Biologi","","","Indonesia","Bandung","NONE","","","","<Jim Wiese>","","<30797><30798><30799>"
"Biologi Molekular","Text","","979-781-192-1","Penerbit Erlangga","","Biologi","","","Indonesia","jakarta","NONE","","","","<Triwibowo Yuwono>","","<30703><30796>"
"Morfologi Tumbuhan","Text","","978-602-241-316-5","Penerbit Erlangga","2013","Biologi","","","Indonesia","jakarta","NONE","","","","<Dewi Rosanti>","","<30795>"
"Pengantar Biologi Evolusi","Text","","978-602-241-317-2","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<Munif Said Hassan, Eddyman W. Ferial , Eddy Soekendarsi>","","<30704><30792>"
"Dunia Sains Biologi ( Sel dan Kehidupan )","Text","","978-979-018-987-4","PT. Tiga Serangkai Pustaka Mandiri","2008","Biologi","","","Indonesia","Solo","NONE","","","","<Denise Walker>","","<30793>"
"Kehamilan Sehat (Seri Panduan Praktis Keluarga)","Text","","979-741-426-4","Penerbit Erlangga","2004","Biologi","","","Indonesia","jakarta","NONE","","","","<Gill Thorn>","","<30791>"
"Mengenal Ikan Air Tawar","Text","","979-3711-35-3","CV Nuansa Citra Grafka","2007","Biologi","","","Indonesia","Bandung","NONE","","","","<Dadan Ahmad S , Siti Mulyani>","","<30789>"
"RPIL (Rangkuman Pengetahuan Islam Lengkap)","Text","","978-602-298-148-0","Penerbit Erlangga","2014","Biologi","","","Indonesia","jakarta","NONE","","","","<Tim ar-Rahman><Mohammad Chandra, S.T., S.Ag , Muhammad Zain, M.Ag. , Hj. Wahyu Elfina, S.S>","","<30787>"
"Sains Biologi untuk Kelas X (TS)","Text","","978-979-018-025-3","PT. Tiga Serangkai Pustaka Mandiri","2007","Biologi","","","Indonesia","Solo","NONE","","","","<Henny Riandari>","","<30785><30786>"
"100 Ide Untuk Guru Paud (Membimbing Anak Siap Sekolah)","Text","","978-602-6847-13-3","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Clare Ford>","","<30783>"
"100 Ide Kreatif untuk Warna","Text","2006","979-781-501-3","Esensi Erlangga Group","2006","","","","Indonesia","jakarta","NONE","","100_Ide_Kreatif_untuk_Warna.jpg.jpg","","<Sue Rose>","","<30499>"
"Layanan Pendidikan Berbasis Luas Dengan pembekalan Kecakapan Hidup di SMU ( Pedoman Pengembangan Penilaian )","Text","","","","2002","Referensi","","","Indonesia","","NONE","","","","<Departemen Pendidikan Nasional>","","<30780>"
"100 Ide Untuk Guru Manajemen Perilaku Murid","Text","","978-602-6847-51-5","Esensi Erlangga Group","2014","Referensi","","","Indonesia","jakarta","NONE","","","","<Molly Potter>","","<30778>"
"13 Jenis Belimbing Manis (Penanaman dan Usaha Penangkaran)","Text","","979-489-133-9","Penebar Swadaya","1999","Referensi","","","Indonesia","jakarta","NONE","","","","<Tim Penulis PS>","","<30776>"
"catatan dari Pulau Lombok","Text","","","CV Jaya Abadi","2006","novel","","","Indonesia","Bandung","NONE","","","","<Yadi Susilo>","","<30775>"
"Berternak Itik Petelur di Kandang Baterai","Text","","979-489-503-2","Penebar Swadaya","1999","Referensi","","","Indonesia","jakarta","NONE","","","","<Ir. Bambang Suharno , Ir. Tony Setiawan>","","<30774>"
"Seri Lulus SKU Pramuka Penegak Laksana","Text","","978-602-7596-81-8","Penerbit Erlangga","2015","Referensi","","","Indonesia","jakarta","NONE","","","","<M. Sumanta, S.Pd.I , Fitria Juwita Santi, SP>","","<30773>"
"Negeri Di balik kabut Sejarah, Catatan-catatan Pendek Salahuddin Wahid","Text","","979-96108-1-8","Pusaka Indonesia Satu","2000","","","","Indonesia","jakarta","NONE","","","","<Saifullah Ma'shum, M. Ridwan Pangkapi>","","<30772>"
"Mimpi","Text","","979-781-342-8","Penerbit Erlangga","2005","","","","Indonesia","jakarta","NONE","","","","<Maeve Ennis , Jennifer Parker>","","<30770>"
"Wawasan Ipteks Ilmu Pengetahuan, Teknologi dan Seni","Text","","978-602-298-503-7","Penerbit Erlangga","2015","Referensi","","","Indonesia","jakarta","NONE","","","","<Dadang Suriamihardja, Amiruddin, Eddyman W. Ferial>","","<30769>"
"Busana Tenun Nusantara","Text","","602-8950-24-4","PT Intan Sejati Klaten","2012","Referensi","","","Indonesia","Klaten, Yogyakarta","NONE","","","","<Latifah>","","<30768>"
"Biografi Andi octavia Latief","Text","","","Barokah","2006","Referensi","","","Indonesia","Pamekasan","NONE","","","","<Budi Waluyo, Sunarno>","","<30767>"
"Pencegahan dan Penanggulangan Penyalahgunaan Narkoba Berbasis Sekolah (Buku Panduan Untuk Guru, Konselor, dan Administrator)","Text","","979-690-325-3","PT. Balai Pustaka (Persero)","2006","Referensi","","","Indonesia","jakarta","NONE","","","","<dr. Lydia Harlina MArtono, S.K.M , dr. Satya Joewana, Sp.K.J>","","<30766>"
"Sistem Berkas","Text","","979-9398-15-0","J &J Lerning","2001","B. Indonesia","","","Indonesia","Yogyakarta","NONE","","","","<Dewi Handayani>","","<30765>"
"Eropa Sebagai Kekuatan Dunia Lintasan Sejarah dan Tantangan Masa Depan","Text","","979-511-427-1","PT. Gramedia Putaka Utama","1999","Referensi","","","Indonesia","jakarta","NONE","","","","<C.P.F. Luhulima>","","<30764>"
"Agribisnis Yang Membumi","Text","","979-695-222-X","PT Grasindo","2001","Referensi","","","Indonesia","jakarta","NONE","","","","<Sjamsoe'oed Sadjad>","","<30763>"
"Wirausaha Muda: Sukses Berbisnis Online","Text","","979-17030-4-8","PT Maraga Borneo Tarigas","2010","Referensi","","","Indonesia","Kalimatan Barat","NONE","","","","<Nur Annisa Rahmawati, S.T. , M.M>","","<30762>"
"Raeni: Mengayuh Asa, Menggapai Mimpi Raeni","Text","","978-602-72110-3-2","Metagraf Creative Imprint of Tiga Serangai","2015","Inspirasi","","","Indonesia","Solo","NONE","","","","","","<10682><10683><30761>"
"Logika CEO Jurus Berpikir dan Bertindak Seorang CEO","Text","","979-688-203-5","Penerbit Erlangga","2001","Referensi","","","Indonesia","jakarta","NONE","","","","<C. Ray Johnson>","","<30760>"
"Pelabuhan Terakhir","Text","","978-979-009-972-5","Penerbit Erlangga","2012","Novel","","","Indonesia","jakarta","NONE","","","","<Roidah>","","<10573><30759>"
"Diet Bebas Lapar Resep langsing Dengan Makan 6 Kali Sehari","Text","","978-979-033-454-0","Esensi Erlangga Group","2007","Referensi","","","Indonesia","jakarta","NONE","","","","<Helen Foster>","","<30758>"
"Ensiklopedia Tematis Eyewitness Pesisir","Text","","978-979-075-763-9","Penerbit Erlangga","2011","","","","Indonesia","jakarta","NONE","","","","<Damaring Tyas Wulandari>","","<30749><30757>"
"Earth WarsrnPertempuran Memperebutkan umber Daya Global","Text","Mei 2012","978-602-7596-54-2","Esensi Erlangga Group","2012","","","","Indonesia","jakarta","NONE","","Earth_Wars_Pertempuran_Memperebutkan_Sumber_Daya_Global.jpg.jpg","","<Geoff Hiscock>","","<30756>"
"Dapat Kerja itu.... Gampang !","Text","","978-602-02-6228-4","PT Gramedia","2015","","","","Indonesia","jakarta","NONE","","","","<Agung Triharso, SH>","","<10204><30755>"
"Pendidikan Karakter Dalam Metode Aktif, Inovatif, Dan Kreatif","Text","","978-602-7596-31-3","Esensi Erlangga Group","2012","","","","Indonesia","jakarta","NONE","","Pendidikan_Karakter_Dalam_Metode_Aktif,_Inovatif,_Dan_Kreatif.jpg.jpg","","<Retno Listyanti>","","<30626><30681><30754>"
"Menyelamatkan Planet Bumi (Bagaimana Membentuk Sebuah Ekonomi Global yang Berkelanjutan dari Segi Lingkungan Hidup","Text","","979-461-166-2","yayasan obor indonesia","1999","","","","Indonesia","jakarta","NONE","","","","<Lester R. Brown , Christoper Flavin, Sandra Postel>","","<30753>"
"Schaum's Outlines Genetika edisi keempat","Text","4","978-979-015-301-1","Penerbit Erlangga","2006","","","","Indonesia","jakarta","NONE","","","","<Susan Elrod, Ph.D , William Stansfield, Ph.D>","","<30750><30751>"
"Belajar karakter Dengan lagu Referensi mengajar Untuk Guru","Text","","978-602-6847-20-1","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<Helyantini Soetopo>","","<30747>"
"Peraturat Baris-berbaris Disertai dengan Pengenalan Pakibraka","Text","","978-602-6847-31-7","Esensi Erlangga Group","2017","Referensi","","","Indonesia","jakarta","NONE","","","","<M. Sumanta, S.PD.I , Fitria Juwinta Santi, SP>","","<30745><30746>"
"Cara Kreatif Mengajar","Text","","978-602-6847-18-8","Esensi Erlangga Group","2016","Referensi","","","Indonesia","jakarta","NONE","","","","<Dina Alfiyanti>","","<30743><30744>"
"Menata Hati Agar Disayang Ilahi","Text","","978-602-241-496-4","Penerbit Erlangga","2013","","","","Indonesia","jakarta","NONE","","Menata_Hati_Agar_Disayang_Ilahi.jpg.jpg","","<Prof. Dr. H.M. Amin Syukur,M.A>","","<30682><30683><30741><30742>"
"Panduan Kepelatihan Sepak Bola Anak","Text","","978-602-6847-25-6","Esensi Erlangga Group","2017","olahraga","","","Indonesia","jakarta","NONE","","","","<Alwi Kosasih>","","<30739><30740>"
"Ada Apa Dengan Narkoba","Text","","979-736-732-0","IKAPI","2017","Referensi","","","Indonesia","Semarang","NONE","","","","<Winarto, S.S>","","<30736>"
"Negeri Para Bedebah","Text","","978-979-228-552-9","PT Gramedia Pustaka Utama","2018","novel","","","Indonesia","jakarta","NONE","","","","<Tere Liye>","","<30735>"
"Biografi Intelektual Imam Al-Bukhari","Text","","978-979-592-574-3","pustaka al-kautsar","2011","Referensi","","","Indonesia","jakarta","NONE","","","","<Mukhlis Rahmanto, Lc>","","<30734>"
"Belajar Dengan Hati Nurani","Text","","978-979-099-105-7","Penerbit Erlangga","2011","","","","Indonesia","jakarta","NONE","","","","<Akh. Muwafik Saleh>","","<30579><30580><30581><30582><30583><30732><30733>"
"Cara Inovatifku Mengajar","Text","","978-602-6847-69-0","Esensi Erlangga Group","2018","Referensi","","","Indonesia","jakarta","NONE","","","","<Yugha Erlanggga dan Tim Esensi>","","<30730><30731>"
"Penguatan Pendidikan Karakter (PPK)","Text","","978-602-434-727-7","Penerbit Erlangga","2018","Referensi","","","Indonesia","jakarta","NONE","","","","<Octen Suhandi, SP. MM>","","<30729>"
"Ya Rabb, Aku Galau","Text","","008-207-016-0","Penerbit Erlangga","2014","Novel","","","Indonesia","jakarta","NONE","","","","<Aida Ahmad><Ummi K. Miqdar>","","<10583><10584><10585><10586><10587><10588><10589><10590><10591><10643><30728>"
"Sekolah Cinta Menjadi Pemimpin Dan Guru Hebat","Text","","978-602-0935-44-7","Emir Cakrawala Islam","2016","","","","Indonesia","jakarta","NONE","","Sekolah_Cinta_Menjadi_Pemimpin_Dan_Guru_Hebat.JPG.JPG","","<edi sutarto>","","<30595><30596><30680><30727>"
"Bunga Rampai dari Hikayat Lama","Text","","979-407 -083-1","Balai Pustaka","2001","","","","Indonesia","jakarta","NONE","","","","<Sasuni Pane>","","<10570><30722>"
"Apa Yang Berbeda Dari Guru Hebat","Text","","978-979-099-296-2","Esensi Erlangga Group","2011","","","","Indonesia","jakarta","NONE","","Apa_Yang_Berbeda_Dari_Guru_Hebat.jpg.jpg","","<Eko Prasetyo><Mohammad Ihsan>","","<30640><30721>"
"Keniscayaan Pluralitas Budaya Daerah","Text","","","Penerbit Angkasa Bandung","2001","","","","Indonesia","Bandung","NONE","","","","<Rusli Lutan>","","<30720>"
"Melindungi Dan Mendidik Anak Dengan Cinta","Text","","978-602-434-636-2","Penerbit Erlangga","2017","","","","Indonesia","jakarta","NONE","","","","<Erlinda, M.Pd.><Dr.Seto Mulyadi, Psi.>","","<30719>"
"Penginderaan Jauh Jilid 2","Text","","979-420-050-6","","1999","","","","Indonesia","","NONE","","","","<Prof. Dr. Sutanto>","","<30715><30716><30717><30718>"
"Akselerasi rnA-Z Informasi Program Percepatan Belajar rnDan Anak Berbakat Intelektual","Text","","979-732-247-5","PT Grasindo","2006","","","","Indonesia","jakarta","NONE","","","","<Reni Akbar-Hawadi>","","<30711><30712><30713><30714>"
"Mengajar Dengan Sukses","Text","","979-732-234-3","PT Grasindo","2005","","","","Indonesia","jakarta","NONE","","","","<Drs. Ad. Rooijakkers>","","<30707><30708><30709><30710>"
"Lima Masalah Terbesar Sains Yang Belum Terpecahkan","Text","","979-534-709-5","Pakar Raya Pakarnya Pustaka","2010","","","","Indonesia","Bandung","NONE","","","","<Arthur W. Wiggins><Charles M. Wynn>","","<30706>"
"Metodologi Penulisan Ilmiah","Text","","978-602-241-995-2","Penerbit Erlangga","2014","","","","Indonesia","jakarta","NONE","","","","<William Chang>","","<30705>"
"One Minute Teacher rnGuru Satu Menit","Text","","979-781-435-1","Penerbit Erlangga","2005","","","","Indonesia","jakarta","NONE","","One_Minute_Teacher_Guru_Satu_Menit.jpg.jpg","","<Spencer Johnson, M.D.><Constance Johnson, M.Ed>","","<30629>"
"Panduan Pendidikan Antikorupsi Untuk Siswa rnMenciptakan Budaya Antikorupsi di Sekolah","Text","","978-602-7596-61-0","Esensi Erlangga Group","2014","","","","Indonesia","jakarta","NONE","","Panduan_Pendidikan_Antikorupsi_Untuk_Siswa_Menciptakan_Budaya_Antikorupsi_di_Sekolah.jpg.jpg","","<Yugha Erlangga>","","<30630>"
"Islam Jawaban Semua Masalah Hidup rnRenungan Harian Untuk Keluarga Sakinah","Text","","978-979-099-312-9","Penerbit Erlangga","2011","","","","Indonesia","jakarta","NONE","","Islam_Jawaban_Semua_Masalah_Hidup_Renungan_Harian_Untuk_Keluarga_Sakinah.jpg.jpg","","<Imam Rachman>","","<30631>"
"Prinsip Hebat Meraih Kelimpahan Hidup","Text","","978-979-099-145-3","Esensi Erlangga Group","2012","","","","Indonesia","jakarta","NONE","","Prinsip_Hebat_Meraih_Kelimpahan_Hidup.JPG.JPG","","<Deborah Morrison><Arvind Singh>","","<30632>"
"Kamus Istilah Populer Islam:rnKata-Kata Yang Paling Sering Digunakan DiDunia Islam","Text","","978-602-241-499-5","Penerbit Erlangga","2013","","","","Indonesia","jakarta","NONE","","Kamus_Istilah_Populer_Islam_Kata-Kata_Yang_Paling_Sering_Digunakan_DiDunia_Islam.JPG.JPG","","<M. Iqbal Dawami, S.S., M.S.I.>","","<30634>"
"Syair Sultan Syarif","Text","","979-459-887-9","","2010","","","","Indonesia","","NONE","","Syair_Sultan_Syarif.jpg.jpg","","<Siti Zahra Yundiafi>","","<30635>"
"Azab Dan SengsararnKisah Kehidupan Seorang Anak Gadis","Text","","979-407-168-4","PT Balai Pustaka ( Persero)","2000","","","","Indonesia","jakarta","NONE","","Azab_Dan_Sengsara_Kisah_Kehidupan_Seorang_Anak_Gadis.jpg.jpg","","<Merari Siregar>","","<30645>"
